timestamp,Ax,Ay,Az,Gx,Gy,Gz
2026-05-28T20:21:38.335735,-0.02,-0.04,0.95,-2.24,1.11,-0.31
2026-05-28T20:21:38.436686,-0.01,-0.04,0.97,-2.17,1.05,-0.3
2026-05-28T20:21:38.537706,-0.02,-0.03,0.97,-2.24,1.15,-0.15
2026-05-28T20:21:38.638601,-0.02,-0.03,0.96,-2.18,1.18,-0.44
2026-05-28T20:21:38.738764,-0.01,-0.03,0.96,-2.21,1.21,-0.39
2026-05-28T20:21:38.839737,-0.02,-0.03,0.98,-2.05,1.23,-0.24
2026-05-28T20:21:38.940709,-0.02,-0.03,0.96,-2.27,1.08,-0.28
2026-05-28T20:21:39.041672,-0.02,-0.03,0.96,-2.34,1.13,-0.32
2026-05-28T20:21:39.142630,-0.02,-0.04,0.96,-2.17,1.11,-0.29
2026-05-28T20:21:39.243600,-0.01,-0.04,0.97,-2.24,1.08,-0.37
2026-05-28T20:21:39.343804,-0.01,-0.03,0.97,-2.24,1.14,-0.37
2026-05-28T20:21:39.444782,-0.02,-0.03,0.97,-2.28,1.15,-0.39
2026-05-28T20:21:39.545812,-0.01,-0.04,0.96,-2.14,0.9,-0.28
2026-05-28T20:21:39.646686,-0.01,-0.04,0.96,-2.15,0.99,-0.34
2026-05-28T20:21:39.747660,-0.01,-0.03,0.96,-2.21,1.15,-0.32
2026-05-28T20:21:39.848598,-0.02,-0.04,0.97,-2.17,1.07,-0.23
2026-05-28T20:21:39.948783,-0.01,-0.03,0.96,-2.25,1.05,-0.26
2026-05-28T20:21:40.049801,-0.01,-0.04,0.97,-2.19,1.02,-0.4
2026-05-28T20:21:40.150912,-0.02,-0.03,0.97,-2.24,1.21,-0.16
2026-05-28T20:21:40.251673,-0.02,-0.04,0.96,-2.22,1.1,-0.31
2026-05-28T20:21:40.352626,-0.01,-0.03,0.96,-2.31,1.15,-0.18
2026-05-28T20:21:40.452984,-0.02,-0.04,0.96,-2.17,1.06,-0.25
2026-05-28T20:21:40.553723,-0.01,-0.04,0.97,-2.21,1.18,-0.44
2026-05-28T20:21:40.654698,-0.01,-0.04,0.96,-2.19,1.18,-0.42
2026-05-28T20:21:40.755703,-0.01,-0.04,0.96,-2.22,1.1,-0.24
2026-05-28T20:21:40.856603,-0.01,-0.04,0.96,-2.14,1.16,-0.43
2026-05-28T20:21:40.957585,-0.01,-0.04,0.96,-2.22,1.02,-0.31
2026-05-28T20:21:41.057896,-0.01,-0.04,0.96,-2.19,1.03,-0.34
2026-05-28T20:21:41.158687,-0.01,-0.04,0.97,-2.24,1.14,-0.42
2026-05-28T20:21:41.259647,-0.01,-0.04,0.97,-2.22,1.05,-0.24
2026-05-28T20:21:41.360618,-0.02,-0.04,0.96,-2.32,1.15,-0.25
2026-05-28T20:21:41.461570,-0.02,-0.04,0.96,-2.27,0.91,-0.22
2026-05-28T20:21:41.561728,-0.02,-0.04,0.96,-2.19,1.08,-0.37
2026-05-28T20:21:41.662709,-0.01,-0.03,0.97,-2.15,1.21,-0.24
2026-05-28T20:21:41.763657,-0.01,-0.03,0.97,-2.09,1.02,-0.4
2026-05-28T20:21:41.864657,-0.02,-0.04,0.97,-2.21,1.04,-0.27
2026-05-28T20:21:41.965636,-0.01,-0.04,0.97,-2.27,1.04,-0.48
2026-05-28T20:21:42.066590,-0.01,-0.03,0.96,-2.24,0.95,-0.28
2026-05-28T20:21:42.166872,-0.01,-0.04,0.97,-2.42,0.95,-0.4
2026-05-28T20:21:42.267750,-0.01,-0.04,0.96,-2.31,1.05,-0.35
2026-05-28T20:21:42.368679,-0.01,-0.04,0.96,-2.36,1.16,-0.27
2026-05-28T20:21:42.469637,-0.01,-0.03,0.96,-2.36,1.02,-0.31
2026-05-28T20:21:42.570656,-0.02,-0.04,0.97,-2.27,1.11,-0.36
2026-05-28T20:21:42.670718,-0.02,-0.04,0.96,-2.17,1.2,-0.23
2026-05-28T20:21:42.771735,-0.02,-0.04,0.97,-2.27,1.05,-0.28
2026-05-28T20:21:42.872727,-0.01,-0.04,0.96,-2.25,1.08,-0.32
2026-05-28T20:21:42.973630,-0.01,-0.03,0.96,-2.14,1.1,-0.26
2026-05-28T20:21:43.074627,-0.01,-0.04,0.95,-2.28,1.13,-0.3
2026-05-28T20:21:43.175613,-0.01,-0.04,0.96,-2.25,1.2,-0.37
2026-05-28T20:21:43.275732,-0.02,-0.03,0.97,-2.31,0.97,-0.3
2026-05-28T20:21:43.376713,-0.01,-0.03,0.96,-2.23,1.08,-0.33
2026-05-28T20:21:43.477666,-0.01,-0.04,0.97,-2.24,1.15,-0.28
2026-05-28T20:21:43.578749,-0.01,-0.03,0.96,-2.15,0.92,-0.24
2026-05-28T20:21:43.679642,-0.01,-0.03,0.96,-2.23,1.13,-0.22
2026-05-28T20:21:43.780587,-0.02,-0.04,0.97,-2.1,1.14,-0.38
2026-05-28T20:21:43.881537,-0.01,-0.03,0.97,-2.19,1.23,-0.31
2026-05-28T20:21:43.981801,-0.01,-0.03,0.97,-2.27,0.96,-0.29
2026-05-28T20:21:44.083601,-0.01,-0.03,0.97,-2.23,1.07,-0.24
2026-05-28T20:21:44.183672,-0.01,-0.04,0.96,-2.29,0.94,-0.31
2026-05-28T20:21:44.284649,-0.01,-0.04,0.95,-2.2,1.0,-0.38
2026-05-28T20:21:44.385673,-0.02,-0.04,0.96,-2.21,1.11,-0.33
2026-05-28T20:21:44.486673,-0.01,-0.03,0.97,-2.33,1.06,-0.32
2026-05-28T20:21:44.587554,-0.01,-0.04,0.97,-2.26,1.18,-0.08
2026-05-28T20:21:44.687733,-0.01,-0.04,0.95,-2.3,1.02,-0.37
2026-05-28T20:21:44.788712,-0.01,-0.03,0.96,-2.19,1.15,-0.24
2026-05-28T20:21:44.889683,-0.01,-0.04,0.96,-2.33,0.98,-0.31
2026-05-28T20:21:44.990667,-0.01,-0.04,0.97,-2.34,0.94,-0.27
2026-05-28T20:21:45.091640,-0.02,-0.04,0.97,-2.31,0.94,-0.37
2026-05-28T20:21:45.192695,-0.01,-0.04,0.97,-2.26,1.16,-0.32
2026-05-28T20:21:45.292702,-0.01,-0.04,0.97,-2.29,1.0,-0.27
2026-05-28T20:21:45.393703,-0.01,-0.04,0.96,-2.13,1.08,-0.26
2026-05-28T20:21:45.494682,-0.02,-0.04,0.96,-2.31,1.05,-0.34
2026-05-28T20:21:45.595651,-0.01,-0.04,0.97,-2.38,1.24,-0.16
2026-05-28T20:21:45.696639,-0.01,-0.04,0.96,-2.34,1.05,-0.35
2026-05-28T20:21:45.797582,-0.01,-0.04,0.96,-2.23,1.05,-0.23
2026-05-28T20:21:45.897727,-0.02,-0.04,0.96,-2.18,0.93,-0.26
2026-05-28T20:21:45.998710,-0.02,-0.03,0.97,-2.31,1.11,-0.31
2026-05-28T20:21:46.099815,-0.01,-0.03,0.96,-2.37,1.08,-0.22
2026-05-28T20:21:46.200651,-0.02,-0.04,0.97,-2.24,1.11,-0.31
2026-05-28T20:21:46.301607,-0.01,-0.04,0.96,-2.26,1.08,-0.35
2026-05-28T20:21:46.402567,-0.01,-0.03,0.97,-2.34,1.1,-0.22
2026-05-28T20:21:46.502713,-0.01,-0.04,0.96,-2.31,0.99,-0.47
2026-05-28T20:21:46.603869,-0.01,-0.04,0.96,-2.21,1.12,-0.26
2026-05-28T20:21:46.704650,-0.01,-0.04,0.96,-2.3,1.11,-0.27
2026-05-28T20:21:46.805637,-0.01,-0.04,0.97,-2.18,1.02,-0.32
2026-05-28T20:21:46.906608,-0.01,-0.04,0.96,-2.08,1.13,-0.23
2026-05-28T20:21:47.006980,-0.01,-0.04,0.96,-2.07,0.96,-0.34
2026-05-28T20:21:47.107725,-0.01,-0.04,0.97,-2.23,0.95,-0.27
2026-05-28T20:21:47.208737,-0.02,-0.04,0.96,-2.23,0.99,-0.38
2026-05-28T20:21:47.309627,-0.01,-0.04,0.96,-2.15,1.22,-0.27
2026-05-28T20:21:47.410637,-0.01,-0.04,0.96,-2.21,0.99,-0.4
2026-05-28T20:21:47.511607,-0.01,-0.04,0.96,-2.18,1.12,-0.3
2026-05-28T20:21:47.611732,-0.01,-0.04,0.97,-2.04,1.28,-0.5
2026-05-28T20:21:47.712715,-0.01,-0.04,0.96,-2.35,1.18,-0.15
2026-05-28T20:21:47.813665,-0.01,-0.03,0.96,-2.62,1.04,-0.37
2026-05-28T20:21:47.914795,-0.01,-0.03,0.97,-2.38,0.91,-0.34
2026-05-28T20:21:48.015620,-0.01,-0.04,0.96,-2.27,1.28,-0.37
2026-05-28T20:21:48.116606,-0.02,-0.04,0.96,-2.36,0.82,-0.39
2026-05-28T20:21:48.216731,-0.05,-0.03,1.07,-3.19,-5.58,0.34
